latitude,longitude,property_type,room_type,bathrooms,bedrooms,minimum_nights,price
37.73137,-122.42532,House,Private room,1,1,30,37.0
37.73128,-122.42473,House,Private room,1,1,30,40.0
37.73048,-122.42494,House,Private room,1,1,30,45.0
37.73838,-122.43375,House,Entire home/apt,1,1,3,135.0
37.73134,-122.42457,House,Private room,1,1,30,57.0
37.75615,-122.41927,Apartment,Private room,2,1,30,75.0
37.77065,-122.44252,Apartment,Entire home/apt,1,1,30,140.0
37.78493,-122.44618,Condominium,Entire home/apt,1,1,30,83.0
37.73152,-122.42547,House,Private room,1,1,30,45.0
37.78528,-122.44358,House,Private room,1,1,1,90.0
37.77483,-122.50952,Apartment,Entire home/apt,1,0,30,85.0
37.75969,-122.44445,Guest suite,Entire home/apt,1,1,5,85.0
37.7455,-122.42898,Guest suite,Private room,1,1,2,115.0
37.76194,-122.44929,Apartment,Entire home/apt,1,2,30,201.0
37.79176,-122.42476,Apartment,Private room,0,1,30,59.0
37.76809,-122.42439,Apartment,Entire home/apt,1,2,4,185.0
37.75629,-122.42518,Apartment,Entire home/apt,2,3,4,450.0
37.79297,-122.40664,House,Shared room,2,1,30,30.0
37.75754,-122.49852,House,Private room,1,1,45,85.0
37.78535,-122.41515,Apartment,Entire home/apt,2,2,30,130.0
37.73327,-122.46435,Guest suite,Entire home/apt,1,2,2,125.0
37.71549,-122.38922,House,Entire home/apt,1,2,30,120.0
37.79294,-122.40659,House,Shared room,2,1,30,30.0
37.76102,-122.43005,Condominium,Private room,1,1,1,125.0
37.80591,-122.4083,Condominium,Entire home/apt,1,1,30,125.0
37.77083,-122.43109,Apartment,Entire home/apt,1,1,30,200.0
37.76813,-122.44494,Apartment,Entire home/apt,1,3,30,150.0
37.75887,-122.43565,Apartment,Entire home/apt,1,1,3,328.0
37.76609,-122.45126,Apartment,Private room,4,1,32,65.0
37.75586,-122.42092,Apartment,Entire home/apt,1,1,30,97.0
37.73974,-122.42299,House,Private room,1,1,1,69.0
37.80356,-122.42589,Condominium,Entire home/apt,1,2,4,300.0
37.7806,-122.47597,House,Entire home/apt,1,3,4,550.0
37.7879,-122.46474,House,Entire home/apt,3,4,7,594.0
37.74708,-122.42456,House,Private room,1,1,30,102.0
37.76463,-122.47435,Apartment,Entire home/apt,1,1,30,150.0
37.75559,-122.42953,House,Entire home/apt,2,4,6,1200.0
37.79835,-122.4042,Apartment,Entire home/apt,1,1,30,150.0
37.75823,-122.43273,House,Private room,1,1,5,150.0
37.73874,-122.41624,Apartment,Private room,1,1,2,90.0
37.78471,-122.48125,Condominium,Entire home/apt,1,2,4,399.0
37.79336,-122.42506,Apartment,Private room,0,1,30,56.0
37.74599,-122.44532,Apartment,Entire home/apt,1,2,30,230.0
37.76787,-122.43172,Apartment,Entire home/apt,1,2,5,275.0
37.80094,-122.4275,Apartment,Entire home/apt,1,1,60,165.0
37.75195,-122.44928,Apartment,Entire home/apt,1,1,30,115.0
37.76202,-122.41876,Apartment,Entire home/apt,1,2,30,148.0
37.762,-122.39391,Townhouse,Private room,1,1,3,75.0
37.77761,-122.50378,Apartment,Entire home/apt,1,1,1,149.0
37.74159,-122.46578,House,Private room,1,1,5,69.0
37.76194,-122.43239,Guesthouse,Entire home/apt,1,1,30,220.0
37.76827,-122.44678,Apartment,Entire home/apt,1,1,30,185.0
37.79018,-122.40475,Apartment,Entire home/apt,1,0,30,110.0
37.79076,-122.40403,Apartment,Entire home/apt,1,0,30,135.0
37.73143,-122.42325,House,Private room,1,1,30,37.0
37.79675,-122.40781,Apartment,Entire home/apt,1,2,30,135.0
37.73626,-122.43677,Apartment,Entire home/apt,1,2,3,220.0
37.75757,-122.41939,Apartment,Private room,2,1,29,75.0
37.73856,-122.41687,Apartment,Private room,1,1,2,90.0
37.80318,-122.42977,Apartment,Entire home/apt,1,1,5,150.0
37.77311,-122.44979,Guest suite,Entire home/apt,1,1,2,138.0
37.74557,-122.41187,Apartment,Private room,1,1,6,80.0
37.8034,-122.40485,Condominium,Entire home/apt,1,1,30,182.0
37.77756,-122.43326,Apartment,Entire home/apt,1,1,30,136.0
37.79507,-122.40498,House,Shared room,2,1,30,30.0
37.79466,-122.40523,House,Shared room,2,1,30,30.0
37.79291,-122.40637,House,Shared room,2,1,30,30.0
37.74446,-122.43776,House,Entire home/apt,1,3,2,295.0
37.78265,-122.48971,Apartment,Private room,2,1,30,79.0
37.80242,-122.4144,Guest suite,Entire home/apt,1,1,3,165.0
37.77118,-122.44963,House,Private room,2,1,1,92.0
37.75551,-122.40882,Condominium,Entire home/apt,2,2,5,178.0
37.77108,-122.44942,House,Private room,2,1,1,98.0
37.77085,-122.44811,House,Private room,2,1,1,78.0
37.76146,-122.43817,Apartment,Entire home/apt,2,3,30,325.0
37.74382,-122.41773,House,Entire home/apt,1,1,5,147.0
37.72652,-122.43468,House,Private room,2,1,2,75.0
37.76468,-122.44523,Apartment,Entire home/apt,1,0,30,110.0
37.77042,-122.45019,House,Private room,2,1,1,78.0
37.80281,-122.4154,Condominium,Private room,2,1,2,139.0
37.75632,-122.40478,House,Entire home/apt,1,1,2,145.0
37.7684,-122.43086,Apartment,Private room,1,1,3,99.0
37.76968,-122.45193,Apartment,Private room,0,1,1,120.0
37.79341,-122.4034,Hostel,Shared room,0,1,1,45.0
37.73819,-122.41566,Apartment,Entire home/apt,1,1,30,135.0
37.79114,-122.41029,Townhouse,Entire home/apt,4,4,2,989.0
37.75565,-122.44022,Apartment,Entire home/apt,1,1,30,250.0
37.75855,-122.46444,Guest suite,Entire home/apt,1,1,30,99.0
37.80301,-122.41581,Condominium,Private room,1,1,2,99.0
37.74174,-122.50435,Guest suite,Entire home/apt,1,1,3,135.0
37.79271,-122.40383,Hostel,Shared room,0,1,1,45.0
37.77499,-122.40635,Apartment,Entire home/apt,1,1,3,160.0
37.79532,-122.40863,Apartment,Entire home/apt,1,2,30,135.0
37.78304,-122.41942,Condominium,Entire home/apt,1,1,30,136.0
37.75889,-122.39539,Condominium,Entire home/apt,1,3,6,280.0
37.76188,-122.44215,Condominium,Private room,1,1,1,139.0
37.77579,-122.45504,Guest suite,Private room,1,1,2,100.0
37.80134,-122.40714,Apartment,Private room,1,1,2,89.0
37.7947,-122.40374,Hostel,Shared room,0,1,1,45.0
37.79441,-122.40473,Hostel,Shared room,0,1,1,45.0
37.7647,-122.45368,Apartment,Entire home/apt,1,1,30,114.0
37.78322,-122.42025,Condominium,Entire home/apt,1,0,30,138.0
37.76294,-122.43974,Apartment,Private room,1,1,2,115.0
37.76711,-122.45151,Apartment,Entire home/apt,1,1,2,250.0
37.77899,-122.40506,Condominium,Entire home/apt,1,1,30,133.0
37.75553,-122.50707,Apartment,Shared room,1,1,30,35.0
37.75612,-122.39967,Condominium,Entire home/apt,2,2,4,325.0
37.75346,-122.50358,House,Private room,1,1,3,89.0
37.76833,-122.42592,Apartment,Private room,1,1,2,97.0
37.72681,-122.43419,Guest suite,Entire home/apt,1,1,3,110.0
37.7529,-122.41553,Apartment,Entire home/apt,2,3,3,575.0
37.73773,-122.44956,House,Private room,1,3,1,250.0
37.74334,-122.42932,Guesthouse,Entire home/apt,1,1,30,105.0
37.76288,-122.43815,Condominium,Entire home/apt,2,2,30,210.0
37.76275,-122.44252,Condominium,Entire home/apt,2,3,4,475.0
37.73225,-122.43614,House,Entire home/apt,2,2,3,300.0
37.75971,-122.38833,Apartment,Entire home/apt,1,1,2,190.0
37.73096,-122.42378,House,Private room,1,1,30,45.0
